region,year,acc_cl_nm,acc_cnt,acc_cnt_cmrt,dth_dnv_cnt,dth_dnv_cnt_cmrt,ftlt_rate,injpsn_cnt,injpsn_cnt_cmrt,tot_acc_cnt,tot_dth_dnv_cnt,tot_injpsn_cnt
속초시,2012,뺑소니사고,20,0.17,0,0.0,0.0,35,0.19,11452,234,18261
속초시,2012,무면허사고,9,0.11,0,0.0,0.0,18,0.15,8185,365,11867
양구군,2012,전체사고,65,0.03,5,0.09,7.69,137,0.04,223656,5392,344565
양구군,2012,어린이사고,5,0.04,0,0.0,0.0,5,0.03,12497,83,15485
양구군,2012,고령자사고,19,0.07,4,0.21,21.05,21,0.07,28185,1864,29699
양구군,2012,보행자사고,13,0.03,2,0.1,15.38,11,0.02,51044,2027,51693
양구군,2012,야간사고,31,0.03,3,0.11,9.68,46,0.03,107127,2805,165925
양구군,2012,어린이보행사고,3,0.06,0,0.0,0.0,3,0.06,5247,54,5347
양구군,2012,고령운전자사고,9,0.06,2,0.28,22.22,11,0.05,15190,718,22043
양구군,2012,고령보행자사고,4,0.04,1,0.1,25.0,3,0.03,9515,959,8651
양구군,2012,뺑소니사고,2,0.02,0,0.0,0.0,6,0.03,11452,234,18261
양구군,2012,무면허사고,4,0.05,1,0.27,25.0,7,0.06,8185,365,11867
양양군,2012,전체사고,174,0.08,9,0.17,5.17,304,0.09,223656,5392,344565
양양군,2012,어린이사고,15,0.12,0,0.0,0.0,20,0.13,12497,83,15485
양양군,2012,고령자사고,31,0.11,2,0.11,6.45,35,0.12,28185,1864,29699
양양군,2012,보행자사고,27,0.05,2,0.1,7.41,28,0.05,51044,2027,51693
양양군,2012,자전거사고,3,0.08,0,0.0,0.0,3,0.08,3547,101,3680
양양군,2012,야간사고,60,0.06,4,0.14,6.67,117,0.07,107127,2805,165925
양양군,2012,어린이보행사고,2,0.04,0,0.0,0.0,2,0.04,5247,54,5347
양양군,2012,고령운전자사고,20,0.13,2,0.28,10.0,26,0.12,15190,718,22043
양양군,2012,고령보행자사고,10,0.11,0,0.0,0.0,11,0.13,9515,959,8651
양양군,2012,뺑소니사고,10,0.09,2,0.85,20.0,15,0.08,11452,234,18261
양양군,2012,무면허사고,7,0.09,1,0.27,14.29,8,0.07,8185,365,11867
영월군,2012,전체사고,178,0.08,15,0.28,8.43,321,0.09,223656,5392,344565
영월군,2012,어린이사고,12,0.1,4,4.82,33.33,53,0.34,12497,83,15485
영월군,2012,고령자사고,31,0.11,2,0.11,6.45,36,0.12,28185,1864,29699
영월군,2012,보행자사고,22,0.04,3,0.15,13.64,19,0.04,51044,2027,51693
영월군,2012,야간사고,49,0.05,5,0.18,10.2,79,0.05,107127,2805,165925
영월군,2012,어린이보행사고,5,0.1,1,1.85,20.0,4,0.07,5247,54,5347
영월군,2012,고령운전자사고,17,0.11,0,0.0,0.0,28,0.13,15190,718,22043
영월군,2012,고령보행자사고,5,0.05,1,0.1,20.0,4,0.05,9515,959,8651
영월군,2012,뺑소니사고,7,0.06,0,0.0,0.0,16,0.09,11452,234,18261
영월군,2012,무면허사고,9,0.11,0,0.0,0.0,19,0.16,8185,365,11867
원주시,2012,전체사고,2356,1.07,50,0.94,2.12,4168,1.23,223656,5392,344565
원주시,2012,어린이사고,172,1.38,0,0.0,0.0,229,1.48,12497,83,15485
원주시,2012,고령자사고,286,1.01,22,1.18,7.69,299,1.01,28185,1864,29699
원주시,2012,보행자사고,428,0.84,23,1.13,5.37,435,0.84,51044,2027,51693
원주시,2012,자전거사고,19,0.54,0,0.0,0.0,21,0.57,3547,101,3680
원주시,2012,야간사고,1144,1.07,27,0.96,2.36,1992,1.2,107127,2805,165925
원주시,2012,어린이보행사고,35,0.67,0,0.0,0.0,36,0.67,5247,54,5347
원주시,2012,스쿨존내어린이사고,6,1.17,0,0.0,0.0,6,1.14,511,6,528
원주시,2012,고령운전자사고,146,0.96,4,0.56,2.74,242,1.1,15190,718,22043
원주시,2012,고령보행자사고,78,0.82,14,1.46,17.95,67,0.77,9515,959,8651
원주시,2012,뺑소니사고,123,1.07,2,0.85,1.63,207,1.13,11452,234,18261
원주시,2012,무면허사고,67,0.82,5,1.37,7.46,120,1.01,8185,365,11867
인제군,2012,전체사고,108,0.05,12,0.23,11.11,219,0.06,223656,5392,344565
인제군,2012,어린이사고,8,0.06,0,0.0,0.0,8,0.05,12497,83,15485
인제군,2012,고령자사고,18,0.06,4,0.21,22.22,16,0.05,28185,1864,29699
인제군,2012,보행자사고,24,0.05,5,0.25,20.83,23,0.04,51044,2027,51693
인제군,2012,야간사고,41,0.04,6,0.21,14.63,86,0.05,107127,2805,165925
인제군,2012,어린이보행사고,3,0.06,0,0.0,0.0,3,0.06,5247,54,5347
인제군,2012,스쿨존내어린이사고,1,0.2,0,0.0,0.0,1,0.19,511,6,528
인제군,2012,고령운전자사고,11,0.07,0,0.0,0.0,20,0.09,15190,718,22043
인제군,2012,고령보행자사고,7,0.07,2,0.21,28.57,5,0.06,9515,959,8651
인제군,2012,뺑소니사고,4,0.03,0,0.0,0.0,9,0.05,11452,234,18261
인제군,2012,무면허사고,2,0.02,1,0.27,50.0,3,0.03,8185,365,11867
정선군,2012,전체사고,144,0.07,5,0.09,3.47,308,0.09,223656,5392,344565
정선군,2012,어린이사고,7,0.06,0,0.0,0.0,9,0.06,12497,83,15485
정선군,2012,고령자사고,27,0.1,1,0.05,3.7,42,0.14,28185,1864,29699
정선군,2012,보행자사고,24,0.05,2,0.1,8.33,23,0.04,51044,2027,51693
정선군,2012,야간사고,59,0.06,2,0.07,3.39,111,0.07,107127,2805,165925
정선군,2012,어린이보행사고,1,0.02,0,0.0,0.0,1,0.02,5247,54,5347
정선군,2012,고령운전자사고,9,0.06,0,0.0,0.0,15,0.07,15190,718,22043
정선군,2012,고령보행자사고,7,0.07,1,0.1,14.29,6,0.07,9515,959,8651
정선군,2012,뺑소니사고,5,0.04,0,0.0,0.0,18,0.1,11452,234,18261
정선군,2012,무면허사고,8,0.1,0,0.0,0.0,22,0.19,8185,365,11867
철원군,2012,전체사고,194,0.09,10,0.19,5.15,313,0.09,223656,5392,344565
철원군,2012,어린이사고,15,0.12,0,0.0,0.0,16,0.1,12497,83,15485
철원군,2012,고령자사고,45,0.16,7,0.38,15.56,55,0.19,28185,1864,29699
철원군,2012,보행자사고,27,0.05,3,0.15,11.11,28,0.05,51044,2027,51693
